Sample,Lead 1,Lead 2,Lead 3
0,0,100,200
1,0,100,200
2,0,100,200
3,0,100,200
4,0,100,200
5,0,100,200
6,0,100,200
7,0,100,200
8,0,100,200
9,0,100,200
10,0,100,200
11,0,100,200
12,0,100,200
13,0,100,200
14,0,100,200
15,0,100,200
16,0,100,200
17,0,100,200
18,0,100,200
19,0,100,200
20,0,100,200
21,0,100,200
22,0,100,200
23,0,100,200
24,0,100,200
25,0,100,200
26,0,100,200
27,0,100,200
28,0,100,200
29,0,100,200
30,0,100,200
31,0,100,200
32,0,100,200
33,0,100,200
34,0,100,200
35,0,100,200
36,0,100,200
37,0,100,200
38,0,100,200
39,0,100,200
40,0,100,200
41,0,100,200
42,0,100,200
43,0,100,200
44,0,100,200
45,0,100,200
46,0,100,200
47,0,100,200
48,0,100,200
49,0,100,200
50,0,100,200
51,0,100,200
52,0,100,200
53,0,100,200
54,0,100,200
55,0,100,200
56,0,100,200
57,0,100,200
58,0,100,200
59,0,100,200
60,0,100,200
61,0,100,200
62,0,100,200
63,0,100,200
64,0,100,200
65,0,100,200
66,0,100,200
67,0,100,200
68,0,100,200
69,0,100,200
70,0,100,200
71,0,100,200
72,0,100,200
73,0,100,200
74,0,100,200
75,0,100,200
76,0,100,200
77,0,100,200
78,0,100,200
79,0,100,200
80,0,100,200
81,0,100,200
82,0,100,200
83,0,100,200
84,0,100,200
85,0,100,200
86,0,100,200
87,0,100,200
88,0,100,200
89,0,100,200
90,0,100,200
91,0,100,200
92,0,100,200
93,0,100,200
94,0,100,200
95,0,100,200
96,0,100,200
97,0,100,200
98,0,100,200
99,0,100,200
